dataset,alpha_tag,num_runs,fedavg_mean,fedavg_std,head_only_mean,head_only_std,conv2_head_mean,conv2_head_std,full_ft_mean,full_ft_std,wins_head_only_total,wins_conv2_head_total,wins_full_ft_total
cifar100,alpha01,3,0.09796666666666666,0.00448813249952955,0.29007812499999996,0.007140214703748421,0.28744791666666664,0.012884784030212077,0.27109374999999997,0.00261105858860445,25,20,15
cifar100,alpha03,3,0.10776666666666666,0.0067987743993556116,0.2093489583333333,0.009679411105483511,0.20460937499999998,0.003867779310777059,0.20536458333333338,0.0070022550311191365,25,20,15
cifar100,alpha10,3,0.106,0.0014106735979665865,0.14502604166666666,0.0050632795824651295,0.143515625,0.005566646102288602,0.148984375,0.002106479494173893,21,15,24
cifar10,alpha01,3,0.27216666666666667,0.019207377055010244,0.7105917017738059,0.02058595666665017,0.6976638269102909,0.030109477212208795,0.6947682730718892,0.03130637145820062,23,18,19
cifar10,alpha03,4,0.302925,0.02457361389783764,0.5542614455856644,0.008441059921652611,0.5448137019230769,0.020600374242705752,0.5490742278554779,0.01748020037509583,34,16,30
cifar10,alpha10,3,0.32343333333333335,0.00839066942104937,0.42807291666666675,0.02025296764841415,0.42658854166666665,0.017027367198834853,0.42325520833333335,0.016278208189139113,23,21,16
